mysqld, Version: 5.7.28-log (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2020-11-23T13:19:32.754149Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.754255Z	    5 Query	show fields from `event`
2020-11-23T13:19:32.754587Z	    5 Query	show fields from `event`
2020-11-23T13:19:32.754899Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `event`
2020-11-23T13:19:32.755050Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.755150Z	    5 Query	use `mysql`
2020-11-23T13:19:32.755242Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.755344Z	    5 Query	SHOW TRIGGERS LIKE 'event'
2020-11-23T13:19:32.755609Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.755697Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.755795Z	    5 Query	show table status like 'func'
2020-11-23T13:19:32.756068Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.756147Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.756244Z	    5 Query	show create table `func`
2020-11-23T13:19:32.756347Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.756455Z	    5 Query	show fields from `func`
2020-11-23T13:19:32.756689Z	    5 Query	show fields from `func`
2020-11-23T13:19:32.756929Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `func`
2020-11-23T13:19:32.757060Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.757144Z	    5 Query	use `mysql`
2020-11-23T13:19:32.757234Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.757335Z	    5 Query	SHOW TRIGGERS LIKE 'func'
2020-11-23T13:19:32.757588Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.757676Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.757776Z	    5 Query	show table status like 'gtid\_executed'
2020-11-23T13:19:32.758097Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.758182Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.758263Z	    5 Query	show create table `gtid_executed`
2020-11-23T13:19:32.758374Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.758476Z	    5 Query	show fields from `gtid_executed`
2020-11-23T13:19:32.758698Z	    5 Query	show fields from `gtid_executed`
2020-11-23T13:19:32.758919Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.759006Z	    5 Query	use `mysql`
2020-11-23T13:19:32.759101Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.759184Z	    5 Query	SHOW TRIGGERS LIKE 'gtid\_executed'
2020-11-23T13:19:32.759439Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.759526Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.759623Z	    5 Query	show table status like 'help\_category'
2020-11-23T13:19:32.783071Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.783173Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.783359Z	    5 Query	show create table `help_category`
2020-11-23T13:19:32.783493Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.783673Z	    5 Query	show fields from `help_category`
2020-11-23T13:19:32.784320Z	    5 Query	show fields from `help_category`
2020-11-23T13:19:32.785162Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `help_category`
2020-11-23T13:19:32.785775Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.786200Z	    5 Query	use `mysql`
2020-11-23T13:19:32.786592Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.786839Z	    5 Query	SHOW TRIGGERS LIKE 'help\_category'
2020-11-23T13:19:32.787162Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.787257Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.787357Z	    5 Query	show table status like 'help\_keyword'
